id,transaction_id,priority,status,reason,created_step,unread,contact
RC00000017,TX0000001420,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,676,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000018,TX0000001615,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,127,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000019,TX0000001800,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,312,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000020,TX0000001837,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,349,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000021,TX0000001995,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,507,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000022,TX0000002032,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,544,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000023,TX0000002069,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,581,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000024,TX0000002153,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,665,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000025,TX0000002190,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,702,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000026,TX0000002385,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,153,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000027,TX0000002570,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,338,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000028,TX0000002607,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,375,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000029,TX0000002765,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,533,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000030,TX0000002769,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,537,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000031,TX0000002802,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,570,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000032,TX0000002839,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,607,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000033,TX0000002923,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,691,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000034,TX0000002960,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,728,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000035,TX0000003340,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,364,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000036,TX0000003377,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,401,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000037,TX0000003535,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,559,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000038,TX0000003539,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,563,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000039,TX0000003572,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,596,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000040,TX0000003609,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,633,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000041,TX0000003693,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,717,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000042,TX0000003730,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,10,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000043,TX0000004110,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,390,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000044,TX0000004147,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,427,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000045,TX0000004305,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,585,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000046,TX0000004342,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,622,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000047,TX0000004379,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,659,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000048,TX0000004500,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,36,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000049,TX0000004722,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,258,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000050,TX0000004880,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,416,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000051,TX0000004917,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,453,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000052,TX0000005075,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,611,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000053,TX0000005112,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,648,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000054,TX0000005149,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,685,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000055,TX0000005270,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,62,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000056,TX0000005492,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,284,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000057,TX0000005641,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,433,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000058,TX0000005650,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,442,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000059,TX0000005687,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,479,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000060,TX0000005845,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,637,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000061,TX0000005882,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,674,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000062,TX0000005919,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,711,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000063,TX0000006262,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,310,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000064,TX0000006299,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,347,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000065,TX0000006411,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,459,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000066,TX0000006420,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,468,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000067,TX0000006457,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,505,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000068,TX0000006568,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,616,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000069,TX0000006615,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,663,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000070,TX0000006652,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,700,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000071,TX0000006689,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,737,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000072,TX0000007032,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,336,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000073,TX0000007069,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,373,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000074,TX0000007190,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,494,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000075,TX0000007227,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,531,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000076,TX0000007338,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,642,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000077,TX0000007385,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,689,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000078,TX0000007422,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,726,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000079,TX0000007459,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,19,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000080,TX0000007802,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,362,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000081,TX0000007839,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,399,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000082,TX0000007960,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,520,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000083,TX0000007997,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,557,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000084,TX0000008108,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,668,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000085,TX0000008192,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,8,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000086,TX0000008229,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,45,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000087,TX0000008414,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,230,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000088,TX0000008513,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,329,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000089,TX0000008572,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,388,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000090,TX0000008609,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,425,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000091,TX0000008730,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,546,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000092,TX0000008767,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,583,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000093,TX0000008878,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,694,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000094,TX0000008962,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,34,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000095,TX0000008999,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,71,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000096,TX0000009184,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,256,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000097,TX0000009283,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,355,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000098,TX0000009342,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,414,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000099,TX0000009379,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,451,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000100,TX0000009500,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,572,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000101,TX0000009537,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,609,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000102,TX0000009648,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,720,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000103,TX0000009769,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,97,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000104,TX0000009954,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,282,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000105,TX0000009991,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,319,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000106,TX0000010112,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,440,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000107,TX0000010149,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,477,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000108,TX0000010270,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,598,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000109,TX0000010307,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,635,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000110,TX0000010418,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,2,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000111,TX0000010539,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,123,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000112,TX0000010724,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,308,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000113,TX0000010761,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,345,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000114,TX0000010882,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,466,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000115,TX0000010919,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,503,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000116,TX0000011077,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,661,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000117,TX0000011188,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,28,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000118,TX0000011299,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,139,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000119,TX0000011385,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,225,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000120,TX0000011494,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,334,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000121,TX0000011531,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,371,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000122,TX0000011652,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,492,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000123,TX0000011689,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,529,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000124,TX0000011837,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,677,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000125,TX0000011847,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,687,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000126,TX0000011958,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,54,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000127,TX0000012069,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,165,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000128,TX0000012106,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,202,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000129,TX0000012264,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,360,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000130,TX0000012301,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,397,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000131,TX0000012422,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,518,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000132,TX0000012459,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,555,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000133,TX0000012607,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,703,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000134,TX0000012728,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,80,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000135,TX0000012839,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,191,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000136,TX0000012876,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,228,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000137,TX0000013034,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,386,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000138,TX0000013071,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,423,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000139,TX0000013192,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,544,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000140,TX0000013229,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,581,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000141,TX0000013377,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,729,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000142,TX0000013498,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,106,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000143,TX0000013609,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,217,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000144,TX0000013646,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,254,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000145,TX0000013804,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,412,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000146,TX0000013841,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,449,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000147,TX0000013962,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,570,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000148,TX0000013999,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,607,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000149,TX0000014147,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,11,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000150,TX0000014268,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,132,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000151,TX0000014379,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,243,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000152,TX0000014416,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,280,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000153,TX0000014574,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,438,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000154,TX0000014611,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,475,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000155,TX0000014769,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,633,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000156,TX0000014917,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,37,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000157,TX0000014991,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,111,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000158,TX0000015038,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,158,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000159,TX0000015149,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,269,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000160,TX0000015186,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,306,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000161,TX0000015344,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,464,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000162,TX0000015381,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,501,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000163,TX0000015539,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,659,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000164,TX0000015687,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,63,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000165,TX0000015761,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,137,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000166,TX0000015808,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,184,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000167,TX0000015919,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,295,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000168,TX0000015956,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,332,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000169,TX0000016114,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,490,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000170,TX0000016151,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,527,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000171,TX0000016457,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,89,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000172,TX0000016531,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,163,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000173,TX0000016568,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,200,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000174,TX0000016689,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,321,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000175,TX0000016726,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,358,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000176,TX0000016884,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,516,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000177,TX0000016921,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,553,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000178,TX0000017106,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,738,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000179,TX0000017227,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,115,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000180,TX0000017301,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,189,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000181,TX0000017338,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,226,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000182,TX0000017459,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,347,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000183,TX0000017496,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,384,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000184,TX0000017654,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,542,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000185,TX0000017691,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,579,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000186,TX0000017795,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,683,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000187,TX0000017876,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,20,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000188,TX0000017997,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,141,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000189,TX0000018071,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,215,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000190,TX0000018108,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,252,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000191,TX0000018229,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,373,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000192,TX0000018266,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,410,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000193,TX0000018424,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,568,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000194,TX0000018461,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,605,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000195,TX0000018646,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,46,1,Risk operations review requested for elevated merchant and amount pattern.
