case_id,action_type,action_detail,status
RC00000068,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000068,Write pattern memory,Persist cluster_RING_148 as a future recall signal.,recommended
RC00000069,Manual review,Review USD 5069.40 transaction before release.,recommended
RC00000069,Write risk note,Persist cluster_RING_149 as an elevated-risk signal.,recommended
RC00000070,Manual review,Review USD 735.30 transaction before release.,recommended
RC00000070,Write risk note,Persist cluster_RING_150 as an elevated-risk signal.,recommended
RC00000071,Hold transaction,Keep USD 2232.00 held pending fraud-ops review.,recommended
RC00000071,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000071,Write pattern memory,Persist cluster_RING_151 as a future recall signal.,recommended
RC00000072,Manual review,Review USD 2390.30 transaction before release.,recommended
RC00000072,Write risk note,Persist cluster_RING_152 as an elevated-risk signal.,recommended
RC00000073,Manual review,Review USD 2376.00 transaction before release.,recommended
RC00000073,Write risk note,Persist cluster_RING_153 as an elevated-risk signal.,recommended
RC00000074,Manual review,Review USD 1506.40 transaction before release.,recommended
RC00000074,Write risk note,Persist cluster_RING_154 as an elevated-risk signal.,recommended
RC00000075,Manual review,Review USD 1660.80 transaction before release.,recommended
RC00000075,Write risk note,Persist cluster_RING_155 as an elevated-risk signal.,recommended
RC00000076,Hold transaction,Keep USD 4616.00 held pending fraud-ops review.,recommended
RC00000076,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000076,Write pattern memory,Persist cluster_RING_156 as a future recall signal.,recommended
RC00000077,Manual review,Review USD 836.40 transaction before release.,recommended
RC00000077,Write risk note,Persist cluster_RING_157 as an elevated-risk signal.,recommended
RC00000078,Manual review,Review USD 1036.30 transaction before release.,recommended
RC00000078,Write risk note,Persist cluster_RING_158 as an elevated-risk signal.,recommended
RC00000079,Hold transaction,Keep USD 2862.00 held pending fraud-ops review.,recommended
RC00000079,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000079,Write pattern memory,Persist cluster_RING_159 as a future recall signal.,recommended
RC00000080,Manual review,Review USD 3821.30 transaction before release.,recommended
RC00000080,Write risk note,Persist cluster_RING_160 as an elevated-risk signal.,recommended
RC00000081,Manual review,Review USD 3591.00 transaction before release.,recommended
RC00000081,Write risk note,Persist cluster_RING_161 as an elevated-risk signal.,recommended
RC00000082,Manual review,Review USD 3018.40 transaction before release.,recommended
RC00000082,Write risk note,Persist cluster_RING_162 as an elevated-risk signal.,recommended
RC00000083,Manual review,Review USD 2956.80 transaction before release.,recommended
RC00000083,Write risk note,Persist cluster_RING_163 as an elevated-risk signal.,recommended
RC00000084,Hold transaction,Keep USD 6776.00 held pending fraud-ops review.,recommended
RC00000084,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000084,Write pattern memory,Persist cluster_RING_164 as a future recall signal.,recommended
RC00000085,Manual review,Review USD 2197.30 transaction before release.,recommended
RC00000085,Write risk note,Persist cluster_RING_165 as an elevated-risk signal.,recommended
RC00000086,Hold transaction,Keep USD 5292.00 held pending fraud-ops review.,recommended
RC00000086,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000086,Write pattern memory,Persist cluster_RING_166 as a future recall signal.,recommended
RC00000087,Manual review,Review USD 4865.00 transaction before release.,recommended
RC00000087,Write risk note,Persist cluster_RING_167 as an elevated-risk signal.,recommended
RC00000088,Manual review,Review USD 7744.00 transaction before release.,recommended
RC00000088,Write risk note,Persist cluster_RING_168 as an elevated-risk signal.,recommended
RC00000089,Manual review,Review USD 4192.30 transaction before release.,recommended
RC00000089,Write risk note,Persist cluster_RING_169 as an elevated-risk signal.,recommended
RC00000090,Manual review,Review USD 3906.00 transaction before release.,recommended
RC00000090,Write risk note,Persist cluster_RING_170 as an elevated-risk signal.,recommended
RC00000091,Manual review,Review USD 3410.40 transaction before release.,recommended
RC00000091,Write risk note,Persist cluster_RING_171 as an elevated-risk signal.,recommended
RC00000092,Manual review,Review USD 3292.80 transaction before release.,recommended
RC00000092,Write risk note,Persist cluster_RING_172 as an elevated-risk signal.,recommended
RC00000093,Hold transaction,Keep USD 7336.00 held pending fraud-ops review.,recommended
RC00000093,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000093,Write pattern memory,Persist cluster_RING_173 as a future recall signal.,recommended
RC00000094,Manual review,Review USD 2498.30 transaction before release.,recommended
RC00000094,Write risk note,Persist cluster_RING_174 as an elevated-risk signal.,recommended
RC00000095,Hold transaction,Keep USD 5922.00 held pending fraud-ops review.,recommended
RC00000095,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000095,Write pattern memory,Persist cluster_RING_175 as a future recall signal.,recommended
RC00000096,Manual review,Review USD 715.00 transaction before release.,recommended
RC00000096,Write risk note,Persist cluster_RING_176 as an elevated-risk signal.,recommended
RC00000097,Hold transaction,Keep USD 14928.00 held pending fraud-ops review.,recommended
RC00000097,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000097,Write pattern memory,Persist cluster_RING_177 as a future recall signal.,recommended
RC00000098,Manual review,Review USD 853.30 transaction before release.,recommended
RC00000098,Write risk note,Persist cluster_RING_178 as an elevated-risk signal.,recommended
RC00000099,Manual review,Review USD 1071.00 transaction before release.,recommended
RC00000099,Write risk note,Persist cluster_RING_179 as an elevated-risk signal.,recommended
RC00000100,Manual review,Review USD 4922.40 transaction before release.,recommended
RC00000100,Write risk note,Persist cluster_RING_180 as an elevated-risk signal.,recommended
RC00000101,Manual review,Review USD 4588.80 transaction before release.,recommended
RC00000101,Write risk note,Persist cluster_RING_181 as an elevated-risk signal.,recommended
RC00000102,Hold transaction,Keep USD 2296.00 held pending fraud-ops review.,recommended
RC00000102,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000102,Write pattern memory,Persist cluster_RING_182 as a future recall signal.,recommended
RC00000103,Hold transaction,Keep USD 8352.00 held pending fraud-ops review.,recommended
RC00000103,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000103,Write pattern memory,Persist cluster_RING_183 as a future recall signal.,recommended
RC00000104,Manual review,Review USD 2065.00 transaction before release.,recommended
RC00000104,Write risk note,Persist cluster_RING_184 as an elevated-risk signal.,recommended
RC00000105,Manual review,Review USD 2058.00 transaction before release.,recommended
RC00000105,Write risk note,Persist cluster_RING_185 as an elevated-risk signal.,recommended
RC00000106,Manual review,Review USD 1224.30 transaction before release.,recommended
RC00000106,Write risk note,Persist cluster_RING_186 as an elevated-risk signal.,recommended
RC00000107,Manual review,Review USD 1386.00 transaction before release.,recommended
RC00000107,Write risk note,Persist cluster_RING_187 as an elevated-risk signal.,recommended
RC00000108,Manual review,Review USD 5314.40 transaction before release.,recommended
RC00000108,Write risk note,Persist cluster_RING_188 as an elevated-risk signal.,recommended
RC00000109,Manual review,Review USD 604.80 transaction before release.,recommended
RC00000109,Write risk note,Persist cluster_RING_189 as an elevated-risk signal.,recommended
RC00000110,Hold transaction,Keep USD 2856.00 held pending fraud-ops review.,recommended
RC00000110,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000110,Write pattern memory,Persist cluster_RING_190 as a future recall signal.,recommended
RC00000111,Hold transaction,Keep USD 8982.00 held pending fraud-ops review.,recommended
RC00000111,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000111,Write pattern memory,Persist cluster_RING_191 as a future recall signal.,recommended
RC00000112,Manual review,Review USD 2415.00 transaction before release.,recommended
RC00000112,Write risk note,Persist cluster_RING_192 as an elevated-risk signal.,recommended
RC00000113,Manual review,Review USD 2352.00 transaction before release.,recommended
RC00000113,Write risk note,Persist cluster_RING_193 as an elevated-risk signal.,recommended
RC00000114,Manual review,Review USD 2655.30 transaction before release.,recommended
RC00000114,Write risk note,Persist cluster_RING_194 as an elevated-risk signal.,recommended
RC00000115,Manual review,Review USD 2601.00 transaction before release.,recommended
RC00000115,Write risk note,Persist cluster_RING_195 as an elevated-risk signal.,recommended
RC00000116,Manual review,Review USD 1900.80 transaction before release.,recommended
RC00000116,Write risk note,Persist cluster_RING_196 as an elevated-risk signal.,recommended
RC00000117,Hold transaction,Keep USD 5016.00 held pending fraud-ops review.,recommended
RC00000117,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000117,Write pattern memory,Persist cluster_RING_197 as a future recall signal.,recommended
RC00000118,Manual review,Review USD 4719.00 transaction before release.,recommended
RC00000118,Write risk note,Persist cluster_RING_198 as an elevated-risk signal.,recommended
RC00000119,Hold transaction,Keep USD 25064.00 held pending fraud-ops review.,recommended
RC00000119,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000119,Write pattern memory,Persist cluster_RING_199 as a future recall signal.,recommended
RC00000120,Manual review,Review USD 3765.00 transaction before release.,recommended
RC00000120,Write risk note,Persist cluster_RING_140 as an elevated-risk signal.,recommended
RC00000121,Manual review,Review USD 3486.00 transaction before release.,recommended
RC00000121,Write risk note,Persist cluster_RING_141 as an elevated-risk signal.,recommended
RC00000122,Manual review,Review USD 3026.30 transaction before release.,recommended
RC00000122,Write risk note,Persist cluster_RING_142 as an elevated-risk signal.,recommended
RC00000123,Manual review,Review USD 2916.00 transaction before release.,recommended
RC00000123,Write risk note,Persist cluster_RING_143 as an elevated-risk signal.,recommended
RC00000124,Manual review,Review USD 6692.00 transaction before release.,recommended
RC00000124,Write risk note,Persist cluster_RING_144 as an elevated-risk signal.,recommended
RC00000125,Manual review,Review USD 2236.80 transaction before release.,recommended
RC00000125,Write risk note,Persist cluster_RING_145 as an elevated-risk signal.,recommended
RC00000126,Hold transaction,Keep USD 5576.00 held pending fraud-ops review.,recommended
RC00000126,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000126,Write pattern memory,Persist cluster_RING_146 as a future recall signal.,recommended
RC00000127,Manual review,Review USD 5104.00 transaction before release.,recommended
RC00000127,Write risk note,Persist cluster_RING_147 as an elevated-risk signal.,recommended
RC00000128,Manual review,Review USD 493.50 transaction before release.,recommended
RC00000128,Write risk note,Persist cluster_RING_148 as an elevated-risk signal.,recommended
RC00000129,Manual review,Review USD 4115.00 transaction before release.,recommended
RC00000129,Write risk note,Persist cluster_RING_149 as an elevated-risk signal.,recommended
RC00000130,Manual review,Review USD 3780.00 transaction before release.,recommended
RC00000130,Write risk note,Persist cluster_RING_150 as an elevated-risk signal.,recommended
RC00000131,Manual review,Review USD 4457.30 transaction before release.,recommended
RC00000131,Write risk note,Persist cluster_RING_151 as an elevated-risk signal.,recommended
RC00000132,Manual review,Review USD 4131.00 transaction before release.,recommended
RC00000132,Write risk note,Persist cluster_RING_152 as an elevated-risk signal.,recommended
RC00000133,Manual review,Review USD 2282.00 transaction before release.,recommended
RC00000133,Write risk note,Persist cluster_RING_153 as an elevated-risk signal.,recommended
RC00000134,Hold transaction,Keep USD 7736.00 held pending fraud-ops review.,recommended
RC00000134,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000134,Write pattern memory,Persist cluster_RING_154 as a future recall signal.,recommended
RC00000135,Manual review,Review USD 1639.00 transaction before release.,recommended
RC00000135,Write risk note,Persist cluster_RING_155 as an elevated-risk signal.,recommended
RC00000136,Manual review,Review USD 1762.50 transaction before release.,recommended
RC00000136,Write risk note,Persist cluster_RING_156 as an elevated-risk signal.,recommended
RC00000137,Manual review,Review USD 965.00 transaction before release.,recommended
RC00000137,Write risk note,Persist cluster_RING_157 as an elevated-risk signal.,recommended
RC00000138,Manual review,Review USD 1134.00 transaction before release.,recommended
RC00000138,Write risk note,Persist cluster_RING_158 as an elevated-risk signal.,recommended
RC00000139,Manual review,Review USD 4828.30 transaction before release.,recommended
RC00000139,Write risk note,Persist cluster_RING_159 as an elevated-risk signal.,recommended
RC00000140,Manual review,Review USD 4446.00 transaction before release.,recommended
RC00000140,Write risk note,Persist cluster_RING_160 as an elevated-risk signal.,recommended
RC00000141,Manual review,Review USD 2772.00 transaction before release.,recommended
RC00000141,Write risk note,Persist cluster_RING_161 as an elevated-risk signal.,recommended
RC00000142,Hold transaction,Keep USD 1096.00 held pending fraud-ops review.,recommended
RC00000142,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000142,Write pattern memory,Persist cluster_RING_162 as a future recall signal.,recommended
RC00000143,Manual review,Review USD 2024.00 transaction before release.,recommended
RC00000143,Write risk note,Persist cluster_RING_163 as an elevated-risk signal.,recommended
RC00000144,Manual review,Review USD 2091.50 transaction before release.,recommended
RC00000144,Write risk note,Persist cluster_RING_164 as an elevated-risk signal.,recommended
RC00000145,Manual review,Review USD 1315.00 transaction before release.,recommended
RC00000145,Write risk note,Persist cluster_RING_165 as an elevated-risk signal.,recommended
RC00000146,Manual review,Review USD 1428.00 transaction before release.,recommended
RC00000146,Write risk note,Persist cluster_RING_166 as an elevated-risk signal.,recommended
RC00000147,Manual review,Review USD 1489.30 transaction before release.,recommended
RC00000147,Write risk note,Persist cluster_RING_167 as an elevated-risk signal.,recommended
RC00000148,Manual review,Review USD 1611.00 transaction before release.,recommended
RC00000148,Write risk note,Persist cluster_RING_168 as an elevated-risk signal.,recommended
RC00000149,Manual review,Review USD 4662.00 transaction before release.,recommended
RC00000149,Write risk note,Persist cluster_RING_169 as an elevated-risk signal.,recommended
RC00000150,Hold transaction,Keep USD 3256.00 held pending fraud-ops review.,recommended
RC00000150,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000150,Write pattern memory,Persist cluster_RING_170 as a future recall signal.,recommended
RC00000151,Manual review,Review USD 3509.00 transaction before release.,recommended
RC00000151,Write risk note,Persist cluster_RING_171 as an elevated-risk signal.,recommended
RC00000152,Manual review,Review USD 3360.50 transaction before release.,recommended
RC00000152,Write risk note,Persist cluster_RING_172 as an elevated-risk signal.,recommended
RC00000153,Manual review,Review USD 2665.00 transaction before release.,recommended
RC00000153,Write risk note,Persist cluster_RING_173 as an elevated-risk signal.,recommended
RC00000154,Manual review,Review USD 2562.00 transaction before release.,recommended
RC00000154,Write risk note,Persist cluster_RING_174 as an elevated-risk signal.,recommended
RC00000155,Manual review,Review USD 1926.00 transaction before release.,recommended
RC00000155,Write risk note,Persist cluster_RING_175 as an elevated-risk signal.,recommended
RC00000156,Manual review,Review USD 5152.00 transaction before release.,recommended
RC00000156,Write risk note,Persist cluster_RING_176 as an elevated-risk signal.,recommended
RC00000157,Manual review,Review USD 4628.00 transaction before release.,recommended
RC00000157,Write risk note,Persist cluster_RING_177 as an elevated-risk signal.,recommended
RC00000158,Hold transaction,Keep USD 3816.00 held pending fraud-ops review.,recommended
RC00000158,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000158,Write pattern memory,Persist cluster_RING_178 as a future recall signal.,recommended
RC00000159,Manual review,Review USD 3894.00 transaction before release.,recommended
RC00000159,Write risk note,Persist cluster_RING_179 as an elevated-risk signal.,recommended
RC00000160,Manual review,Review USD 3689.50 transaction before release.,recommended
RC00000160,Write risk note,Persist cluster_RING_180 as an elevated-risk signal.,recommended
RC00000161,Manual review,Review USD 3015.00 transaction before release.,recommended
RC00000161,Write risk note,Persist cluster_RING_181 as an elevated-risk signal.,recommended
RC00000162,Manual review,Review USD 2856.00 transaction before release.,recommended
RC00000162,Write risk note,Persist cluster_RING_182 as an elevated-risk signal.,recommended
RC00000163,Manual review,Review USD 3141.00 transaction before release.,recommended
RC00000163,Write risk note,Persist cluster_RING_183 as an elevated-risk signal.,recommended
RC00000164,Manual review,Review USD 742.00 transaction before release.,recommended
RC00000164,Write risk note,Persist cluster_RING_184 as an elevated-risk signal.,recommended
RC00000165,Manual review,Review USD 1352.00 transaction before release.,recommended
RC00000165,Write risk note,Persist cluster_RING_185 as an elevated-risk signal.,recommended
RC00000166,Hold transaction,Keep USD 5976.00 held pending fraud-ops review.,recommended
RC00000166,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000166,Write pattern memory,Persist cluster_RING_186 as a future recall signal.,recommended
RC00000167,Manual review,Review USD 5379.00 transaction before release.,recommended
RC00000167,Write risk note,Persist cluster_RING_187 as an elevated-risk signal.,recommended
RC00000168,Manual review,Review USD 728.50 transaction before release.,recommended
RC00000168,Write risk note,Persist cluster_RING_188 as an elevated-risk signal.,recommended
RC00000169,Manual review,Review USD 4365.00 transaction before release.,recommended
RC00000169,Write risk note,Persist cluster_RING_189 as an elevated-risk signal.,recommended
RC00000170,Manual review,Review USD 3990.00 transaction before release.,recommended
RC00000170,Write risk note,Persist cluster_RING_190 as an elevated-risk signal.,recommended
RC00000171,Manual review,Review USD 1232.00 transaction before release.,recommended
