case_id,score,confidence,narrative,payload_json,resolved_payload_json
RC00000065,97,0.9100,High-confidence fraud investigation for RC00000065; keep the transaction held and open dispute workflow.,"{""score"":97,""confidence"":0.91,""ring"":""RING-145"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000066,54,0.7800,Elevated-risk investigation for RC00000066; keep under review pending confirmation.,"{""score"":54,""confidence"":0.78,""ring"":""RING-146"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000067,51,0.7800,Elevated-risk investigation for RC00000067; keep under review pending confirmation.,"{""score"":51,""confidence"":0.78,""ring"":""RING-147"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000068,90,0.9100,High-confidence fraud investigation for RC00000068; keep the transaction held and open dispute workflow.,"{""score"":90,""confidence"":0.91,""ring"":""RING-148"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000069,56,0.7800,Elevated-risk investigation for RC00000069; keep under review pending confirmation.,"{""score"":56,""confidence"":0.78,""ring"":""RING-149"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000070,51,0.7800,Elevated-risk investigation for RC00000070; keep under review pending confirmation.,"{""score"":51,""confidence"":0.78,""ring"":""RING-150"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000071,88,0.9100,High-confidence fraud investigation for RC00000071; keep the transaction held and open dispute workflow.,"{""score"":88,""confidence"":0.91,""ring"":""RING-151"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000072,54,0.7800,Elevated-risk investigation for RC00000072; keep under review pending confirmation.,"{""score"":54,""confidence"":0.78,""ring"":""RING-152"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000073,54,0.7800,Elevated-risk investigation for RC00000073; keep under review pending confirmation.,"{""score"":54,""confidence"":0.78,""ring"":""RING-153"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000074,53,0.7800,Elevated-risk investigation for RC00000074; keep under review pending confirmation.,"{""score"":53,""confidence"":0.78,""ring"":""RING-154"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000075,53,0.7800,Elevated-risk investigation for RC00000075; keep under review pending confirmation.,"{""score"":53,""confidence"":0.78,""ring"":""RING-155"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000076,92,0.9100,High-confidence fraud investigation for RC00000076; keep the transaction held and open dispute workflow.,"{""score"":92,""confidence"":0.91,""ring"":""RING-156"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000077,52,0.7800,Elevated-risk investigation for RC00000077; keep under review pending confirmation.,"{""score"":52,""confidence"":0.78,""ring"":""RING-157"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000078,52,0.7800,Elevated-risk investigation for RC00000078; keep under review pending confirmation.,"{""score"":52,""confidence"":0.78,""ring"":""RING-158"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000079,90,0.9100,High-confidence fraud investigation for RC00000079; keep the transaction held and open dispute workflow.,"{""score"":90,""confidence"":0.91,""ring"":""RING-159"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000080,57,0.7800,Elevated-risk investigation for RC00000080; keep under review pending confirmation.,"{""score"":57,""confidence"":0.78,""ring"":""RING-160"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000081,56,0.7800,Elevated-risk investigation for RC00000081; keep under review pending confirmation.,"{""score"":56,""confidence"":0.78,""ring"":""RING-161"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000082,56,0.7800,Elevated-risk investigation for RC00000082; keep under review pending confirmation.,"{""score"":56,""confidence"":0.78,""ring"":""RING-162"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000083,56,0.7800,Elevated-risk investigation for RC00000083; keep under review pending confirmation.,"{""score"":56,""confidence"":0.78,""ring"":""RING-163"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000084,93,0.9100,High-confidence fraud investigation for RC00000084; keep the transaction held and open dispute workflow.,"{""score"":93,""confidence"":0.91,""ring"":""RING-164"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000085,55,0.7800,Elevated-risk investigation for RC00000085; keep under review pending confirmation.,"{""score"":55,""confidence"":0.78,""ring"":""RING-165"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000086,91,0.9100,High-confidence fraud investigation for RC00000086; keep the transaction held and open dispute workflow.,"{""score"":91,""confidence"":0.91,""ring"":""RING-166"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000087,57,0.7800,Elevated-risk investigation for RC00000087; keep under review pending confirmation.,"{""score"":57,""confidence"":0.78,""ring"":""RING-167"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000088,84,0.7800,Elevated-risk investigation for RC00000088; keep under review pending confirmation.,"{""score"":84,""confidence"":0.78,""ring"":""RING-168"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000089,56,0.7800,Elevated-risk investigation for RC00000089; keep under review pending confirmation.,"{""score"":56,""confidence"":0.78,""ring"":""RING-169"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000090,55,0.7800,Elevated-risk investigation for RC00000090; keep under review pending confirmation.,"{""score"":55,""confidence"":0.78,""ring"":""RING-170"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000091,55,0.7800,Elevated-risk investigation for RC00000091; keep under review pending confirmation.,"{""score"":55,""confidence"":0.78,""ring"":""RING-171"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000092,55,0.7800,Elevated-risk investigation for RC00000092; keep under review pending confirmation.,"{""score"":55,""confidence"":0.78,""ring"":""RING-172"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000093,95,0.9100,High-confidence fraud investigation for RC00000093; keep the transaction held and open dispute workflow.,"{""score"":95,""confidence"":0.91,""ring"":""RING-173"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000094,54,0.7800,Elevated-risk investigation for RC00000094; keep under review pending confirmation.,"{""score"":54,""confidence"":0.78,""ring"":""RING-174"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000095,93,0.9100,High-confidence fraud investigation for RC00000095; keep the transaction held and open dispute workflow.,"{""score"":93,""confidence"":0.91,""ring"":""RING-175"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000096,52,0.7800,Elevated-risk investigation for RC00000096; keep under review pending confirmation.,"{""score"":52,""confidence"":0.78,""ring"":""RING-176"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000097,95,0.9100,High-confidence fraud investigation for RC00000097; keep the transaction held and open dispute workflow.,"{""score"":95,""confidence"":0.91,""ring"":""RING-177"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000098,53,0.7800,Elevated-risk investigation for RC00000098; keep under review pending confirmation.,"{""score"":53,""confidence"":0.78,""ring"":""RING-178"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000099,53,0.7800,Elevated-risk investigation for RC00000099; keep under review pending confirmation.,"{""score"":53,""confidence"":0.78,""ring"":""RING-179"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000100,58,0.7800,Elevated-risk investigation for RC00000100; keep under review pending confirmation.,"{""score"":58,""confidence"":0.78,""ring"":""RING-180"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000101,57,0.7800,Elevated-risk investigation for RC00000101; keep under review pending confirmation.,"{""score"":57,""confidence"":0.78,""ring"":""RING-181"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000102,90,0.9100,High-confidence fraud investigation for RC00000102; keep the transaction held and open dispute workflow.,"{""score"":90,""confidence"":0.91,""ring"":""RING-182"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000103,97,0.9100,High-confidence fraud investigation for RC00000103; keep the transaction held and open dispute workflow.,"{""score"":97,""confidence"":0.91,""ring"":""RING-183"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000104,53,0.7800,Elevated-risk investigation for RC00000104; keep under review pending confirmation.,"{""score"":53,""confidence"":0.78,""ring"":""RING-184"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000105,53,0.7800,Elevated-risk investigation for RC00000105; keep under review pending confirmation.,"{""score"":53,""confidence"":0.78,""ring"":""RING-185"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000106,52,0.7800,Elevated-risk investigation for RC00000106; keep under review pending confirmation.,"{""score"":52,""confidence"":0.78,""ring"":""RING-186"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000107,52,0.7800,Elevated-risk investigation for RC00000107; keep under review pending confirmation.,"{""score"":52,""confidence"":0.78,""ring"":""RING-187"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000108,57,0.7800,Elevated-risk investigation for RC00000108; keep under review pending confirmation.,"{""score"":57,""confidence"":0.78,""ring"":""RING-188"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000109,51,0.7800,Elevated-risk investigation for RC00000109; keep under review pending confirmation.,"{""score"":51,""confidence"":0.78,""ring"":""RING-189"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000110,89,0.9100,High-confidence fraud investigation for RC00000110; keep the transaction held and open dispute workflow.,"{""score"":89,""confidence"":0.91,""ring"":""RING-190"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000111,97,0.9100,High-confidence fraud investigation for RC00000111; keep the transaction held and open dispute workflow.,"{""score"":97,""confidence"":0.91,""ring"":""RING-191"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000112,54,0.7800,Elevated-risk investigation for RC00000112; keep under review pending confirmation.,"{""score"":54,""confidence"":0.78,""ring"":""RING-192"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000113,54,0.7800,Elevated-risk investigation for RC00000113; keep under review pending confirmation.,"{""score"":54,""confidence"":0.78,""ring"":""RING-193"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000114,55,0.7800,Elevated-risk investigation for RC00000114; keep under review pending confirmation.,"{""score"":55,""confidence"":0.78,""ring"":""RING-194"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000115,55,0.7800,Elevated-risk investigation for RC00000115; keep under review pending confirmation.,"{""score"":55,""confidence"":0.78,""ring"":""RING-195"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000116,54,0.7800,Elevated-risk investigation for RC00000116; keep under review pending confirmation.,"{""score"":54,""confidence"":0.78,""ring"":""RING-196"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000117,93,0.9100,High-confidence fraud investigation for RC00000117; keep the transaction held and open dispute workflow.,"{""score"":93,""confidence"":0.91,""ring"":""RING-197"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000118,56,0.7800,Elevated-risk investigation for RC00000118; keep under review pending confirmation.,"{""score"":56,""confidence"":0.78,""ring"":""RING-198"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000119,95,0.9100,High-confidence fraud investigation for RC00000119; keep the transaction held and open dispute workflow.,"{""score"":95,""confidence"":0.91,""ring"":""RING-199"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000120,55,0.7800,Elevated-risk investigation for RC00000120; keep under review pending confirmation.,"{""score"":55,""confidence"":0.78,""ring"":""RING-140"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000121,54,0.7800,Elevated-risk investigation for RC00000121; keep under review pending confirmation.,"{""score"":54,""confidence"":0.78,""ring"":""RING-141"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000122,54,0.7800,Elevated-risk investigation for RC00000122; keep under review pending confirmation.,"{""score"":54,""confidence"":0.78,""ring"":""RING-142"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000123,54,0.7800,Elevated-risk investigation for RC00000123; keep under review pending confirmation.,"{""score"":54,""confidence"":0.78,""ring"":""RING-143"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000124,59,0.7800,Elevated-risk investigation for RC00000124; keep under review pending confirmation.,"{""score"":59,""confidence"":0.78,""ring"":""RING-144"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000125,53,0.7800,Elevated-risk investigation for RC00000125; keep under review pending confirmation.,"{""score"":53,""confidence"":0.78,""ring"":""RING-145"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000126,92,0.9100,High-confidence fraud investigation for RC00000126; keep the transaction held and open dispute workflow.,"{""score"":92,""confidence"":0.91,""ring"":""RING-146"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000127,57,0.7800,Elevated-risk investigation for RC00000127; keep under review pending confirmation.,"{""score"":57,""confidence"":0.78,""ring"":""RING-147"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000128,52,0.7800,Elevated-risk investigation for RC00000128; keep under review pending confirmation.,"{""score"":52,""confidence"":0.78,""ring"":""RING-148"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000129,56,0.7800,Elevated-risk investigation for RC00000129; keep under review pending confirmation.,"{""score"":56,""confidence"":0.78,""ring"":""RING-149"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000130,56,0.7800,Elevated-risk investigation for RC00000130; keep under review pending confirmation.,"{""score"":56,""confidence"":0.78,""ring"":""RING-150"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000131,57,0.7800,Elevated-risk investigation for RC00000131; keep under review pending confirmation.,"{""score"":57,""confidence"":0.78,""ring"":""RING-151"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000132,56,0.7800,Elevated-risk investigation for RC00000132; keep under review pending confirmation.,"{""score"":56,""confidence"":0.78,""ring"":""RING-152"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
